transcript,score,moduleColor,cluster_id
AT1G13650.1,1.029223736,turquoise,7A
AT3G55450.1,0.942156205,pink,5A
AT1G02930.2,1.023834996,None,None
AT1G79500.3,0.957787009,brown,3A
AT5G24850.1,1.030069261,yellow,8A
AT5G06870.1,0.993495053,blue,2A
AT5G41460.1,0.977594457,green,4A
AT5G01820.1,1.05635785,red,6A
AT4G08870.1,1.059167734,turquoise,7A
AT1G75100.1,1.079618004,black,1A
AT2G29650.2,1.061767733,None,None
AT5G06690.1,0.960494768,brown,3A
AT3G17609.2,1.04689181,yellow,8A
AT4G15690.1,1.012101765,blue,2A
AT1G06040.1,1.06848164,red,6A
